,"消費者物價基本分類暨項目群指數",

"統計期","總指數","較上期增減率(%)"
"102年",93.71,-
"102年1月",93.41,-0.18
"102年2月",93.85,0.47
"102年3月",92.50,-1.44
"102年4月",93.08,0.63
"102年5月",93.25,0.18
"102年6月",93.72,0.50
"102年7月",93.58,-0.15
"102年8月",93.69,0.12
"102年9月",94.92,1.31
"102年10月",94.66,-0.27
"102年11月",93.98,-0.72
"102年12月",93.89,-0.10
"103年",94.83,-
"103年1月",94.18,0.31
"103年2月",93.81,-0.39
"103年3月",93.99,0.19
"103年4月",94.62,0.67
"103年5月",94.76,0.15
"103年6月",95.25,0.52
"103年7月",95.22,-0.03
"103年8月",95.64,0.44
"103年9月",95.59,-0.05
"103年10月",95.66,0.07
"103年11月",94.78,-0.92
"103年12月",94.46,-0.34
"104年",94.54,-
"104年1月",93.30,-1.23
"104年2月",93.62,0.34
"104年3月",93.41,-0.22
"104年4月",93.84,0.46
"104年5月",94.07,0.25
"104年6月",94.72,0.69
"104年7月",94.62,-0.11
"104年8月",95.21,0.62
"104年9月",95.87,0.69
"104年10月",95.95,0.08
"104年11月",95.29,-0.69
"104年12月",94.58,-0.75
"105年",95.86,-
"105年1月",94.05,-0.56
"105年2月",95.88,1.95
"105年3月",95.29,-0.62
"105年4月",95.60,0.33
"105年5月",95.23,-0.39
"105年6月",95.57,0.36
"105年7月",95.79,0.23
"105年8月",95.75,-0.04
"105年9月",96.19,0.46
"105年10月",97.58,1.45
"105年11月",97.17,-0.42
"105年12月",96.18,-1.02
"106年",96.45,-
"106年1月",96.16,-0.02
"106年2月",95.82,-0.35
"106年3月",95.46,-0.38
"106年4月",95.69,0.24
"106年5月",95.80,0.11
"106年6月",96.53,0.76
"106年7月",96.53,0.00
"106年8月",96.67,0.15
"106年9月",96.66,-0.01
"106年10月",97.26,0.62
"106年11月",97.50,0.25
"106年12月",97.35,-0.15
"107年",97.76,-
"107年1月",97.02,-0.34
"107年2月",97.93,0.94
"107年3月",96.98,-0.97
"107年4月",97.61,0.65
"107年5月",97.48,-0.13
"107年6月",97.88,0.41
"107年7月",98.22,0.35
"107年8月",98.16,-0.06
"107年9月",98.32,0.16
"107年10月",98.39,0.07
"107年11月",97.78,-0.62
"107年12月",97.29,-0.50
"108年",98.30,-
"108年1月",97.19,-0.10
"108年2月",98.14,0.98
"108年3月",97.52,-0.63
"108年4月",98.25,0.75
"108年5月",98.39,0.14
"108年6月",98.71,0.33
"108年7月",98.60,-0.11
"108年8月",98.58,-0.02
"108年9月",98.73,0.15
"108年10月",98.75,0.02
"108年11月",98.35,-0.41
"108年12月",98.41,0.06
"109年",98.07,-
"109年1月",99.00,0.60
"109年2月",97.94,-1.07
"109年3月",97.50,-0.45
"109年4月",97.30,-0.21
"109年5月",97.20,-0.10
"109年6月",97.98,0.80
"109年7月",98.10,0.12
"109年8月",98.25,0.15
"109年9月",98.16,-0.09
"109年10月",98.49,0.34
"109年11月",98.44,-0.05
"109年12月",98.45,0.01
"110年",100.00,-
"110年1月",98.81,0.37
"110年2月",99.29,0.49
"110年3月",98.69,-0.60
"110年4月",99.35,0.67
"110年5月",99.58,0.23
"110年6月",99.77,0.19
"110年7月",99.97,0.20
"110年8月",100.55,0.58
"110年9月",100.71,0.16
"110年10月",101.00,0.29
"110年11月",101.24,0.24
"110年12月",101.04,-0.20
"111年",102.95,-
"111年1月",101.61,0.56
"111年2月",101.60,-0.01
"111年3月",101.92,0.31
"111年4月",102.70,0.77
"111年5月",102.96,0.25
"111年6月",103.35,0.38
"111年7月",103.32,-0.03
"111年8月",103.24,-0.08
"111年9月",103.49,0.24
"111年10月",103.77,0.27
"111年11月",103.62,-0.14
"111年12月",103.78,0.15


"註解："
"1.項目群月指數自2013年1月起發布。"
"2.當月該項水果若非屬產季，則指數及年增率欄以「-」列示。"
"3.國外旅遊團費指數自109年4月至111年9月無任何報價，依國際勞工組織(International Labor Organization)之CPI編製手冊規範，該項指數以同月國內旅遊團費之月增率設算編製(110年4月、110年8月至111年1月另納入台灣帛琉旅遊團費之報價)；隨111年10月13日放寬邊境管制，該指數回復採實際報價編算。"
""
